company,date,text,num_replies,num_retweets,num_likes
AMD,2019-12-20,"$AMD Advanced Micro Devices, I Top stock up 165% from low. Close: 44.15 VolvsAvg: 1.06 Liq: $2330M",0,0,0
AMD,2019-12-20,$AMD has had 12 up weeks in a row. The relative strength line is confirming the higher prices.,1,3,25
AMD,2019-12-20,$AMD. Nice closing run in the last 15 minutes.   Sat on the sidelines.  Bet this comes back to 43.80 on Monday.,0,0,0
AMD,2019-12-20,$amd  scalped that bounce,0,0,1
AMD,2019-12-20,$AMD nice close..,0,0,1
AMD,2019-12-20,Good luck to y’all buying $AMD 10 minutes before the close on a Friday. Lol.,0,0,0
AMD,2019-12-20,$AMD RISK -40$ looking good still greeeeeeen 47....48 maybe out ! #trading #stocks  @adssgroup,0,0,3
AMD,2019-12-20,$AMD ATM now back down to VWAP.  ,0,0,0
AMD,2019-12-20,$amd sinking now profit takers looks like,0,0,0
AMD,2019-12-20,$AMD anyone rich yet???? Good job bulls,0,0,0
AMD,2019-12-20,$AMD outside (3) on the 60m. #TheStrat,0,1,2
AMD,2019-12-20,$AMD New 52 week high,0,0,0
AMD,2019-12-20,Unicorn Bay rating for $AMD is 1.87 out of 5.,0,0,0
AMD,2019-12-20,Explore #fundamental numbers and pros and cons for $AMD,0,0,0
AMD,2019-12-20,$AMD #Options OI chart. Free stocks app http://mobileinteractive.com/superstocks,0,0,0
AMD,2019-12-20,$AMD: Another successful 20%+ move brought to you by  @MarketSmith  charts.  Long from the signal at 35.56.  Profit-taking box hit at $43-$44.  #IBDPartner  Can't trade without it.  @InvestorsBusinessDaily,0,0,1
AMD,2019-12-20,$AMD 12/20 $44 calls for $0.04 / $0.24 (+500%),0,0,1
AMD,2019-12-20,$amd popping again 44.25,0,0,0
AMD,2019-12-20,$amd all out 44.25 great day!!!,0,0,1
AMD,2019-12-20,$AMD Calls now up 600%,0,0,0
AMD,2019-12-20,$amd ripping HOD,0,0,0
AMD,2019-12-20,$AMD those Feb $44’s are gold now. Damn ,0,1,2
AMD,2019-12-20,$AMD man I wish my 2/20 44c were like today for $$$,0,0,0
AMD,2019-12-20,$amd is a buy at 250 PE ,0,0,0
AMD,2019-12-20,Nice $AMD gain today with a 50% retracement back to the top of the short term channel and now hitting HOD again.  Two nice runs but now I’m watching for follow through.,0,0,1
AMD,2019-12-20,$amd HOD boom,0,0,0
AMD,2019-12-20,$amd beastly,0,0,0
AMD,2019-12-20,$AMD 12/20 $44 calls for $0.04 / $0.11 (+175%),0,0,2
AMD,2019-12-20,Took profit on $amd closed trade at 43.87,0,1,1
AMD,2019-12-20,$AMD 1d chart.,0,0,0
AMD,2019-12-20,$AMD AMD Stock Hit a New High for the Year Due to Optimism Over Its Chips,0,0,1
AMD,2019-12-20,$AMD back above VWAP after 50% retracement.,0,0,0
AMD,2019-12-20,$AMD Best of Luck,0,0,4
AMD,2019-12-20,$amd all out at 44 great profit,0,0,0
AMD,2019-12-20,"$amd daily new high, might entering the long run here. I have long term stock investment in it since it was 8 bucks, and also trade option back n forth.",0,0,0
AMD,2019-12-20,"$AMD Another trade entry opportunity, price action is bouncing from support with significant candlesticks",0,0,0
AMD,2019-12-20,$AMD Straddles at 41.5 .. Now equal to 2.6 from 1.8 .. Perfect,0,0,1
AMD,2019-12-20,$amd calls block activity,0,1,0
AMD,2019-12-20,$AMD nhod,0,0,0
AMD,2019-12-20,"$AMD Price action has penetrated the high, we are going higher!!!!!",0,0,0
AMD,2019-12-20,$amd boom 44,0,0,0
AMD,2019-12-20,"$AMD Important breaks have occurred, price is confirming that its heading higher!!!",0,0,0
AMD,2019-12-20,$AMD Elliot wave 3-4,0,0,1
AMD,2019-12-20,$AMD 15 min chart @AOTtrades Here we go !!,0,0,4
AMD,2019-12-20,$AMD is showing that its heading higher from here,0,0,0
AMD,2019-12-20,$AMD  Advanced Micro Devices   Target Raised by Wedbush $43.79 $39.00 ➝ $51.50 Outperform,0,0,0
AMD,2019-12-20,"$AMD We have detected a noticeable change in the Zeitgeist for Advanced Micro Devices, Inc. at  https://markets.dataswarm.tech/t/9/AMD Visit https://markets.dataswarm.tech for more information #STOCKS #NASDAQ DataSwarm ref: 81760",0,0,0
AMD,2019-12-20,$AMD took some profit here. Waiting for confirmation above 44,0,0,0
AMD,2019-12-20,Wow $amd is up 2.61%,0,0,0
AMD,2019-12-20,last down week for $AMD was 3 months ago,0,4,4
AMD,2019-12-20,$AMD for you leap players,0,2,0
