company,date,text,num_replies,num_retweets,num_likes
CHGG,2019-12-15,"Nathan J. Schultz, PRESIDENT OF LEARNING SERVICES of CHEGG, INC - $CHGG decreased their shareholding by 29% to now own a total of 253168 shares",0,0,0
CHGG,2019-12-15,"Robin Tomasello, VP, CORPORATE CONTROLLER of CHEGG, INC - $CHGG decreased their shareholding by 9% to now own a total of 87074 shares",0,0,0
CHGG,2019-12-15,$CHGG in Downtrend: Stochastic indicator stays in oversold zone for 2 days. View odds for this and other indicators: https://tickeron.com/go/1011154 #Chegg #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today,0,0,0
