company,date,text,num_replies,num_retweets,num_likes
XBIT,2019-11-15,$XBIT Holding this one for the long haul. -2.97 %,0,0,0
XBIT,2019-11-15,$XBIT Expiration:11/15/2019|MaxPain:10.0|High Put Open Interest:7.5(5)|High Call Open Interest:12.5(28),0,0,0
XBIT,2019-11-15,"$XBIT's 10-day Moving Average broke above its 50-day Moving Average on October 23, 2019. View odds for this and other indicators: https://tickeron.com/go/917866 #XBiotech #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",0,0,0
