company,date,text,num_replies,num_retweets,num_likes
AMD,2019-12-04,$AMD Its forming bullish trend just hir double bottom next step could be  $55.00 by may.,0,0,0
AMD,2019-12-04,"$AMD monthly, who thinks we will break all-time highs next year? #AMD",1,1,8
AMD,2019-12-04,"sure, a 200 PE stock sounds like a safe haven in a market sell off. $amd",0,0,1
AMD,2019-12-04,$AMD we need need Netflix news so we can hurry up and plow through the 40s !,1,0,0
AMD,2019-12-04,$AMD Big move setting up here,0,0,1
AMD,2019-12-04,$AMD looks good long term. I’m gunna buy some shares to hold a bit at some point soon.,0,1,1
AMD,2019-12-04,$amd bounce,0,0,1
AMD,2019-12-04,$amd ramping,0,0,1
AMD,2019-12-04,$AMD green to red,2,0,1
AMD,2019-12-04,$AMD can continue,0,1,1
AMD,2019-12-04,Didn't I tell you they were still buying $AMD?,0,2,3
AMD,2019-12-04,"Would expect to see some pullback in $AMD coming up after its strong finish yesterday.  $39.13 would be where I’m watching, ideally like to see this finish under $39 going into tomorrow",0,0,0
AMD,2019-12-04,$AMD my alert from yesterday is a ITM hun...we like em like that...want proof?....come and see for yourself,0,0,2
AMD,2019-12-04,Mid-session IV Report $AMD https://ivolatility.com/news.j?nid=1736,0,0,0
AMD,2019-12-04,Worth to notice about our No 1 stock $AMD One of the most liquid in the US market,0,1,0
AMD,2019-12-04,Unusual volume detected for $AMD,0,1,1
AMD,2019-12-04,$amd powder keg,0,1,1
AMD,2019-12-04,"$AMD We have a double bottom in place, that's our death line, price should continue heading higher from here!!!!",0,1,0
AMD,2019-12-04,$AMD the gap down from nov 26 also filled. there are no upside gaps left.,0,0,0
AMD,2019-12-04,"$AMD Turns out this resistance becomes support line is also a pivot level, so this tells us the break of this level is strong, plus we have a valid uptrend happening! Its a little bit risky but we have a stop in place!!!!",0,0,0
AMD,2019-12-04,$AMD Expiration:12/06/2019|MaxPain:38.5|High Put Open Interest:36.5(12178)|High Call Open Interest:40.0(14063),0,0,0
AMD,2019-12-04,$AMD over 39.78 ,0,0,0
AMD,2019-12-04,"$AMD Entry on price action marking support, and heading higher, there was a previous inverted head and shoulders pattern which still needs to be completed, that's why I entered the trade. Previous resistance became support!!!! Significant candlesticks are visible!!!!",0,0,0
AMD,2019-12-04,"$AMD over 15,000 calls being bough (it only  10:15 am ) in the dec 20th 43 calls  for 40 ¢.. whichh would be a new high to end the yr at ATH = ",0,1,2
AMD,2019-12-04,$AMD firing off my fav #1 buy trigger here 8 thru 34 on a 30 min & a h/h ...,0,0,1
AMD,2019-12-04,$amd lets get that 40,0,1,1
AMD,2019-12-04,2020 Will Bring More Gains for Advanced Micro Devices Stock $AMD -,0,0,0
AMD,2019-12-04,$AMD over $40 ,0,0,1
AMD,2019-12-04,$AMD out +1.50,0,0,0
AMD,2019-12-04,"$AMD ..... The new attractive price point is any price below $40 .... By the end of 2020, the compelling roadmap of CPUs and GPUs playing in one of the hottest sectors of #AI and #ML .... Intel's dominance convincingly beaten in the large desktop space ... Enterprise DC is next",0,1,2
AMD,2019-12-04,$AMD call sweeps coming in hot..,0,0,1
AMD,2019-12-04,$amd watch,0,0,0
AMD,2019-12-04,"$AMD - MEGA POP ALERT - Price: 39.53, up 1.62% over prior 10 minute average, Volume: 350 x prior 10 minute average",0,0,0
AMD,2019-12-04,Intel Vs. Advanced Micro Devices: Not A Zero-Sum CPU Game $AMD,0,0,0
AMD,2019-12-04,$AMD could be your short of next week honey,0,0,0
AMD,2019-12-04,"$AMD's 620 was already turning up before the open yesterday - no need to watch, one could have acted as I did and buy",0,1,1
AMD,2019-12-04, Watch NOW: TIMBER!  Down goes $AMD!! AMAZING trade!   #daytrading #stockmarket #stocks #stocktrader #daytrader #trading #amd,0,1,5
AMD,2019-12-04,"HotStocks #USA: +20% bei OMEROS, +8% bei CLOVIS ONCOLOGY #börse #aktien $AMD",0,0,0
AMD,2019-12-04,$AMD #Advanced Micro Devices Inc. ... AWS Silicon an Eventual Threat to CPU/GPU Incumbents: | http://dlvr.it/RKf238 #equity #stocks,0,3,0
AMD,2019-12-04,$AMD had a strong rebound yesterday and looks like a bull flag to me. I still have a 1/3 position,0,2,6
AMD,2019-12-04,AMD share price up 120% in 2019; what's the outlook for 2020? $AMD #stocks #nasdaq  https://bddy.me/2OO3Jl2,2,1,5
AMD,2019-12-04,$AMD it’s gonna be    o T A Y !,0,1,0
AMD,2019-12-04,"$AMD 12/4 Just like that, back to this area of resistance. Good area to play off tomorrow.",0,0,2
AMD,2019-12-04,12-3-19 Trade Recap $AMD https://youtu.be/raydBlxZlXE via  @YouTube,1,1,4
