company,date,text,num_replies,num_retweets,num_likes
AMD,2019-11-22,$AMD weekly exhaustion is wild,4,5,17
AMD,2019-11-22,$AMD bought a $41 call exp 11/29.   Do you guys think it’ll go back up next week thanks to Black Friday and what not?,0,0,0
AMD,2019-11-22,"$AMD #AMD as mentioned and displayed... upside move limited short term, downside move excelerated today but found a short term support, will prob be your buying spot in the coming days for re-long. Learning to read charts in different time frames helps a trader immensely!",0,0,0
AMD,2019-11-22,$AMD Omg I'm on the right target 45 ,0,0,0
AMD,2019-11-22,Advanced Micro Devices Inc. C $AMD Trading Report https://goo.gl/fb/Ar9ezQ Click for Buy/Sell,0,0,0
AMD,2019-11-22,$AMD this is ending green bet that !!!!,0,0,0
AMD,2019-11-22,$amd buyers coming in,0,0,0
AMD,2019-11-22,why are $AMD insiders dumping their shares???? wtf is going on  @CNBCFastMoney  ??,0,0,0
AMD,2019-11-22,$AMD Greeeennn baby 40 is coming  next week $45.,0,0,0
AMD,2019-11-22,why isnt $AMD going up? CNBC told me its still a buy! ,0,0,0
AMD,2019-11-22,Really contemplating $AMD puts again but that didn’t go well last time,0,0,1
AMD,2019-11-22,$AMD breaking down again headed back under $39,1,1,1
AMD,2019-11-22,$AMD Greeeeennnn baby is coming now 45 calls is here,0,0,0
AMD,2019-11-22,why is your $AMD shitcoin dumping  @LisaSu  ??,1,0,1
AMD,2019-11-22,$amd dip buy paying off $$$$,0,0,0
AMD,2019-11-22,wtf $AMD should go up!!!!,0,0,0
AMD,2019-11-22,$AMD out last half +.35,0,0,0
AMD,2019-11-22,$AMD AMD's Dip Is a Time to Buy,0,0,0
AMD,2019-11-22,$AMD who ever bought today at 38.21 today is a genius ..OMG!  that was me !!  and im a buyer at 37 or 47 and 57 how else does it get to my target of 65..GIDDY-UP! adding here there and everywhere,0,0,2
AMD,2019-11-22,$AMD out half +.50,0,0,0
AMD,2019-11-22,$amd bounce,0,0,0
AMD,2019-11-22,$AMD going down  https://invst.ly/or9-y,0,0,0
AMD,2019-11-22,$AMD update off inside day/harami cross,1,1,6
AMD,2019-11-22,$AMD Here we goooo $40 is coming just about now.,0,0,0
AMD,2019-11-22,$AMD will most likely lead any SPY sellof like today/yesterday Daily Chart,0,0,1
AMD,2019-11-22,$AMD  Stop feeding the short devils,0,0,0
AMD,2019-11-22,$AMD   Like I said green it's coming 40 by 4:00 p.m.,0,0,0
AMD,2019-11-22,$AMD long 38.80,0,0,0
AMD,2019-11-22,Heck yeah  @Blues_Traders  these daily wins on $AMD options are amazing!,0,0,0
AMD,2019-11-22,"$AMD Puts again  Making money hand over fist! I called it yesterday, you had plenty of time.  No one listens!  You can't do this on your own we are here to help and teach...  Join us live in Chat for Hot entry's and daily Alerts. https://magictickerstrading.com",0,1,2
AMD,2019-11-22,$AMD small pos long via options $41 dec 2,1,0,0
AMD,2019-11-22,"$AMD GREEEEEENNNNN ISSSSSS COMING NEAR YOU SHORT RED DEVILS HAHAHAAAAA AFTER $45,, WILL FOLOW",0,0,0
AMD,2019-11-22,"TREND REVERSAL DOWN ALERT: $AMD Advanced Micro Devices, Inc   TradeIdeas via http://AlertTrade.us to FREE Trading Room",0,0,0
AMD,2019-11-22,$AMD will close 40 mark my words,0,0,0
AMD,2019-11-22,$AMD  Unfortunately 45 is here,0,0,0
AMD,2019-11-22,$AMD Short are gitting killed they are covering now seeeeee yoooooo 45.00,0,0,0
AMD,2019-11-22,$AMD  the only thing that changes is the victims,0,0,0
AMD,2019-11-22,$AMD Soon will have greeennn hahahahah short red devil are birthing hard they covering like chickens  45 is here,0,0,0
AMD,2019-11-22,$AMD  Anything you read online it's a fake you shit news this rats from wall street are fucking around with your money talling u when to buy and sell first they sell then they put up scam news so ppl can sell,0,0,0
AMD,2019-11-22,Amazing profit from $AMD puts .. ,0,0,1
AMD,2019-11-22,$AMD Retrds trowing money away not me I'll see you at $45,0,0,0
AMD,2019-11-22,$AMD paying awesome this morning! Heck yeah!,0,0,1
AMD,2019-11-22,$AMD just thru the 10-dma as it flirts with yesterday's lows...,0,0,1
AMD,2019-11-22,$AMD November 29 $46 hellooooo.,0,0,0
AMD,2019-11-22,$AMD BIGGGGG greeeeennnn will come ony rerards short how u think we hit 41 by shorting ore buying,0,0,0
AMD,2019-11-22,why did I cover $AMD 39,0,0,0
AMD,2019-11-22,whats happening to $AMD @ARektMan1 ?????????,0,0,0
AMD,2019-11-22,Unusual volume detected for $AMD,0,0,1
AMD,2019-11-22,$AMD  Bigggg greeen is coming November 29 price target 45 only retards short stock,0,0,0
AMD,2019-11-22,Advanced Micro Devices Inc. $AMD down by -1.52% at $38.92  UNUSUAL ACTIVITY VOLUME 676.74% STRENGTH 564.11%   #Stocks #UnusualActivity,0,1,0
AMD,2019-11-22,$AMD round 2,0,0,0
AMD,2019-11-22,$AMD fresh lows,0,0,1
AMD,2019-11-22,GOAT stock  $AMD,0,0,0
AMD,2019-11-22,$AMD Take look for November 29 45 call will explode,0,0,0
AMD,2019-11-22,$AMD is my largest short right now.,2,0,1
AMD,2019-11-22,$AMD Load upppp,0,0,0
AMD,2019-11-22,is $AMD running out of steam?,1,0,0
