company,date,text,num_replies,num_retweets,num_likes
CHGG,2020-02-12,"$CHGG filed SEC form 4: CIO AND CHIEF OUTCOMES OFFICER Osier Michael A.:  Disposed 24,000 of Common Stock at average price $44.24 on 2020-02-10, decreased holding by 6% to 400,741 shares  https://s.flashalert.me/tgBw5E",0,0,0
CHGG,2020-02-12,Chegg $CHGG Shares Gap Down to $40.91 http://zpr.io/tbLBU,0,0,0
CHGG,2020-02-12,50 DMA Support today: $CHGG ...,0,0,0
CHGG,2020-02-12,$CHGG 's precipitous nose dive after spectacular results and guidance is just perverse; can one dare to hope for a double bottom reversal? #chegg  @markminervini  @MoneyU101  @IBDinvestors,1,0,1
CHGG,2020-02-12,$CHGG: Chegg Inc is cheaper today at 41x earnings than it was a week ago at 49x earnings. (https://stockflare.com/stock/CHGG.K),0,0,0
CHGG,2020-02-12,"$CHGG: Chegg Inc's forecast earnings moved 16.5% over the last week, but the price is -2.0%. It's PE ratio is now 41x earnings. (https://stockflare.com/stock/CHGG.K)",0,0,0
CHGG,2020-02-12,$CHGG: The target price for Chegg Inc has increased to $48.45 from $45.58 in the last week. (https://stockflare.com/stock/CHGG.K),0,0,0
CHGG,2020-02-12,"$CHGG in Downtrend: its price expected to drop as it breaks its higher Bollinger Band on February 10, 2020. View odds for this and other indicators: https://tickeron.com/go/1237683 #Chegg #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",0,0,1
CHGG,2020-02-12,$CHGG under 39 for pop,1,0,0
CHGG,2020-02-12,$CHGG getting close to buying price !,0,0,2
CHGG,2020-02-12,"Chegg $CHGG Releases Earnings Results, Beats Estimates By $0.06 EPS http://wkrb13.com/?p=1591374 #markets",0,0,0
CHGG,2020-02-12,Chegg $CHGG PT Raised to $49 at Morgan Stanley,0,0,1
CHGG,2020-02-12,"Two days ago, $CHGG filed an announcement of earnings in 2019. When earnings quality is low, high reported earnings may relate to low future earnings, see: http://financial-education-hub.com/1/CHGG.",1,2,2
CHGG,2020-02-12,Brokers Set Expectations for Chegg Inc’s FY2021 Earnings $CHGG http://americanbankingnews.com/?p=13370929 #markets,0,0,0
CHGG,2020-02-12,Brokers Set Expectations for Chegg Inc’s FY2021 Earnings $CHGG http://americanbankingnews.com/?p=13370929 #stocks,0,0,0
CHGG,2020-02-12,First Analysis Weighs in on Chegg Inc’s FY2021 Earnings $CHGG http://thelincolnianonline.com/?p=3442922,0,0,0
CHGG,2020-02-12,Barrington Research Reiterates “Buy” Rating for Chegg $CHGG http://americanbankingnews.com/?p=13370187 #markets,0,0,0
CHGG,2020-02-12,Barrington Research Reiterates “Buy” Rating for Chegg $CHGG http://americanbankingnews.com/?p=13370187 #stocks,0,0,0
CHGG,2020-02-12,Chegg $CHGG Price Target Increased to $39.00 by Analysts at Lake Street Capital http://zpr.io/tb8ST,0,0,0
CHGG,2020-02-12,Chegg $CHGG Price Target Increased to $46.00 by Analysts at JPMorgan Chase & Co.  http://thestockobserver.com/?p=2629040 #markets,0,0,0
CHGG,2020-02-12,Chegg’s $CHGG Buy Rating Reaffirmed at Barrington Research http://dakotafinancialnews.com/?p=1516415,0,0,0
CHGG,2020-02-12,Barrington Research Reaffirms Buy Rating for Chegg $CHGG http://zpr.io/tb8Cw,0,0,0
CHGG,2020-02-12,$CHGG breakout the day before earnings fails the next on higher volume. No position.,0,0,0
CHGG,2020-02-12,Do you know that #WallStreet price for $CHGG is $48.45,0,0,0
CHGG,2020-02-12,$CHGG just popped up on QuickRunner scanner. We will see if the momentum holds.,0,0,0
CHGG,2020-02-12,Wondering about risks of $CHGG? The 63-day volatility is 14.29%,0,0,0
CHGG,2020-02-12,Not sure what to do with $CHGG? Explore our #fundamental pros and cons.,0,0,0
CHGG,2020-02-12,Stock Traders Purchase Large Volume of Put Options on Chegg $CHGG http://tickerreport.com/?p=5042364,0,0,0
CHGG,2020-02-12,Chegg Sees Unusually Large Options Volume $CHGG  http://modernreaders.com/?p=2780599 #investingnews,0,0,0
CHGG,2020-02-12,Chegg $CHGG Stock Rating Reaffirmed by Barrington Research  http://theenterpriseleader.com/?p=2640437,0,0,0
CHGG,2020-02-12,Chegg Sees Unusually Large Options Volume $CHGG  http://theenterpriseleader.com/?p=2640499,0,0,0
CHGG,2020-02-12,Chegg $CHGG Trading Down 8.3% http://zpr.io/tbuFR,0,0,0
