company,date,text,num_replies,num_retweets,num_likes
UIS,2020-02-12,$UIS Unisys Corporation New Co Top stock up 163% from low. Close: 16.94 VolvsAvg: 0.85 Liq: $31M,0,0,0
UIS,2020-02-12,"$UIS's price moved above its 50-day Moving Average on February 6, 2020. View odds for this and other indicators: https://tickeron.com/go/1234389 #Unisys #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",0,1,0
UIS,2020-02-12,Unisys $UIS Given Hold Rating at Canaccord Genuity  http://thestockobserver.com/?p=2628334 #markets,0,0,0
