company,date,text,num_replies,num_retweets,num_likes
UIS,2020-01-25,"$UIS: Unisys Corporation's forecast earnings moved 0.4% over the last week, but the price is -14.2%. It's PE ratio is now 5x earnings. (https://stockflare.com/stock/UIS)",0,0,0
UIS,2020-01-25,$UIS: Unisys Corporation's price is -14.2% but the forecast earnings moved 0.0% over the last week. (https://stockflare.com/stock/UIS),0,0,0
UIS,2020-01-25,$UIS in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators: https://tickeron.com/go/1161735 #Unisys #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today,0,1,0
UIS,2020-01-25,$UIS $12.24+ by soon?.. -3.55 % change recently,0,0,0
