company,date,text,num_replies,num_retweets,num_likes
AMD,2019-10-12,$AMD down to < $38.5 I am playing 3 weeks out 41 puts.,0,2,1
AMD,2019-10-12,"$AMD Led by AMD, Chip Stocks Rise On Upbeat Industry Report and Trade Optimism",0,0,0
AMD,2019-10-12,"$AMD's Aroon indicator reaches into Uptrend on October 11, 2019. View odds for this and other indicators: https://tickeron.com/go/815975 #AdvancedMicroDevices #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",0,0,0
AMD,2019-10-12,"$AMD technical alerts: Crossed Above 20 DMA, MACD Bullish Signal Line Cross, and Pocket Pivot",0,0,0
AMD,2019-10-12,$AMD add to watchlist ,1,0,1
