company,date,text,num_replies,num_retweets,num_likes
CHGG,2020-01-21,Chegg $CHGG Given New Price Target at Citigroup http://americanbankingnews.com/?p=13120723 #markets,0,0,0
CHGG,2020-01-21,Chegg $CHGG Given New Price Target at Citigroup http://americanbankingnews.com/?p=13120723 #stocks,0,0,0
CHGG,2020-01-21,Chegg $CHGG Price Target Increased to by Analysts at Citigroup  http://thestockobserver.com/?p=2565597 #markets,0,0,0
CHGG,2020-01-21,Chegg $CHGG Price Target Increased to by Analysts at Citigroup http://zpr.io/tAZuA,0,0,0
CHGG,2020-01-21,"$CHGG in Uptrend: 50-day Moving Average crossed above 200-day Moving Average on January 15, 2020. View odds for this and other indicators: https://tickeron.com/go/1148604 #Chegg #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",0,0,0
CHGG,2020-01-21,$CHGG - Citi raises PT to $50 - keeps buy rating,0,0,0
CHGG,2020-01-21,"Insider Selling: Chegg Inc $CHGG Insider Sells 30,057 Shares of Stock http://tickerreport.com/?p=4975900",0,0,0
CHGG,2020-01-21,"Chegg Inc $CHGG Director Sells $562,406.25 in Stock http://tickerreport.com/?p=4975910",0,0,0
CHGG,2020-01-21,"Chegg Inc $CHGG Insider Michael A. Osier Sells 30,057 Shares of Stock http://thelincolnianonline.com/?p=3377546",0,0,0
CHGG,2020-01-21,"Chegg Inc $CHGG Director Marne L. Levine Sells 13,125 Shares http://thelincolnianonline.com/?p=3377554",0,0,0
CHGG,2020-01-21,"Chegg Director Marne Levine Sells $562,406.25 in $CHGG",0,0,0
CHGG,2020-01-21,Chegg Inc $CHGG Expected to Post Quarterly Sales of $123.22 Million  http://thestockobserver.com/?p=2564430 #markets,0,0,0
CHGG,2020-01-21,$123.22 Million in Sales Expected for Chegg Inc $CHGG This Quarter http://zpr.io/tA6XX,0,0,0
CHGG,2020-01-21,$0.31 Earnings Per Share Expected for Chegg Inc $CHGG This Quarter http://dakotafinancialnews.com/?p=1451309,0,0,0
CHGG,2020-01-21,$0.31 Earnings Per Share Expected for Chegg Inc $CHGG This Quarter http://zpr.io/tA6Nn,0,0,0
