company,date,text,num_replies,num_retweets,num_likes
XBIT,2019-12-11,$XBIT filed SEC form 4: Chief Executive Officer SIMARD JOHN:  Transacted Derivative Securities on 2019-12-06.  https://s.flashalert.me/Ypx7gd,0,0,0
XBIT,2019-12-11,$XBIT might be worth taking a position when this bottoms  -7.54 % change recently,0,0,0
XBIT,2019-12-11,$XBIT ,0,1,0
XBIT,2019-12-11,"$XBIT technical alerts: 180 Bullish Setup, Slingshot Bullish, Pocket Pivot, Calm After Storm, Par...",0,0,0
XBIT,2019-12-11,XBiotech Inc. $XBIT PT Raised to $28 at Piper Jaffray,0,1,0
XBIT,2019-12-11,$XBIT PT raised to $28 from $16 at Piper,1,6,8
XBIT,2019-12-11,$XBIT's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators: https://tickeron.com/go/992777 #XBiotech #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today,0,0,0
