company,date,text,num_replies,num_retweets,num_likes
AMD,2019-11-07,"$AMD Advanced Micro Devices, I Top stock up 118% from low. Close: 36.28 VolvsAvg: 0.79 Liq: $1893M",0,0,0
AMD,2019-11-07,AMD On Track $AMD,0,0,0
AMD,2019-11-07,Great work  @Estros  for locking in that solid profit on $AMD! We’re glad that you’re a part of #TeamWingtrades!,0,0,0
AMD,2019-11-07,$AMd Bearish under 36.25,0,1,0
AMD,2019-11-07,"AMD | $AMD  AMD Strength w 200 Day, expect a sell to $30 and bounce!  Long or short it on WCX: http://wcex.com/trade/AMD",0,0,0
AMD,2019-11-07,"AMD gains on new Threadrippers, Athlon $AMD",0,0,0
AMD,2019-11-07,$AMD looking to swoop in like a millennial waiting for the next housing crisis,0,0,1
AMD,2019-11-07,$AMD puts scalp,0,0,0
AMD,2019-11-07,"$AMD - AMD gains on new Threadrippers, Athlon",0,0,0
AMD,2019-11-07,$AMD is working on its 6th up week in a row. Note the high closes each week as it signifies institutional accumulation.,0,2,12
AMD,2019-11-07,$AMD is that head and shoulders on the weekly?,0,0,0
AMD,2019-11-07,Advanced Micro Devices $AMD Downgraded by Zacks Investment Research http://zpr.io/tzcwm,1,0,0
AMD,2019-11-07,$AMD tariff lifted! This will ,0,0,0
AMD,2019-11-07,I hastily sold all my $AMD at $35.66 per unit yesterday. The stock is presently at $36.81.,0,0,0
AMD,2019-11-07,$AMD Expiration:11/08/2019|MaxPain:35.0|High Put Open Interest:35.0(9057)|High Call Open Interest:36.0(15121),0,0,0
AMD,2019-11-07,"When I was in high school and university, I followed AMD, Intel and nVidia from the like of Engadget and anadtech. And years later, I still do but from Y! Finance. You go high, $AMD, and to the   you go. ",0,0,0
AMD,2019-11-07,"16 cores on a mainstream platform in 2019, destroying previous HEDT performance for $749! Just 2 years ago Intel's 6950X, 10 core HEDT, was selling for $1,800. What a wonderful time to be alive! #AMD $AMD",1,4,38
AMD,2019-11-07,"$AMD AMD gains on new Threadrippers, Athlon AMD (AMD +2.5%) announces two third-generation Ryzen Threadripper processors: the 24-core, 48-thread Threadripper 3960X and the 32-core, 64-thread Threadripper 3970X.",0,0,0
AMD,2019-11-07,And this is why $AMD is undervalued.,1,0,1
AMD,2019-11-07,$AMD double top in process. Sell the news will take over,0,0,0
AMD,2019-11-07,Hard work paying off at $AMD KEEP IT COMING!,0,0,0
AMD,2019-11-07,"Stopped out of $AMD .. red trade, always respect your plan",0,0,4
AMD,2019-11-07,$AMD y’all,0,0,0
AMD,2019-11-07,Stopped out of $AMD do to tariff pullbacks smhhh -55,0,1,0
AMD,2019-11-07,"$AMD Thinking about buying stock in Advanced Micro Devices, General Electric, QUALCOMM, Teva Pharmaceutical, or Uber http://bit.ly/2NoiZnV",0,1,0
AMD,2019-11-07,Unusual volume detected for $AMD,0,1,0
