company,date,text,num_replies,num_retweets,num_likes
AMD,2019-12-28,$AMD Chart,2,0,4
AMD,2019-12-28,"$AMD We have detected a noticeable change in the Zeitgeist for Advanced Micro Devices, Inc. at  https://markets.dataswarm.tech/t/9/AMD Visit https://markets.dataswarm.tech for more information #STOCKS #NASDAQ DataSwarm ref: 82756",0,0,0
AMD,2019-12-28,$AMD [Jan-03 42.00 Calls] Option volume Up +189.29% |  Volume: 81 vs 28|,0,0,0
AMD,2019-12-28,$AMD Straddle at 46 Exp 17 Jan  C = 1.9 P = 1.6 TOTAL = 3.5,0,0,1
AMD,2019-12-28,It should really be $AMD but watevs,0,1,0
AMD,2019-12-28,Sentiment for $AMD out of 80 total scores; 79 % is positive and 21 % is negative. #sentiment,0,0,0
AMD,2019-12-28,$AMD is a short w/ stop just above 47.32. Use options.,0,1,4
AMD,2019-12-28,$AMD The stock bounced when the 20dma caught up with the 9ema...that is a nice trend....,0,1,6
AMD,2019-12-28,$AMD ....ship's log and blue water course.,0,0,0
AMD,2019-12-28,"$AMD enters an Uptrend as Momentum Indicator exceeded the 0 level on December 11, 2019. View odds for this and other indicators: https://tickeron.com/go/1058235 #AdvancedMicroDevices #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",0,1,1
AMD,2019-12-28,AMD | $AMD  AMD to 50+ by march I bet we trend lower until feb no new hi...  Long or short it on WCX: http://wcex.com/trade/AMD,0,0,0
AMD,2019-12-28,$AMD Advanced Micro Devices Technical Analysis & Expected Move & Trend Channels. What do you guys think about this stock?,1,1,1
AMD,2019-12-28,$AMD Hey guys. What are your honest thoughts about AMD over the next year?,3,0,1
AMD,2019-12-28,$AMD I’m half bull half bear.  Next week is going to be interesting with AH action.  Hmmmmmmmm.,1,0,0
AMD,2019-12-28,AMD | $AMD  Looking to add at 42.15  Long or short it on WCX: http://wcex.com/trade/AMD,0,0,0
