company,date,text,num_replies,num_retweets,num_likes
UIS,2019-10-29,"$UIS Unisys is set to gap up over Sept highs Wed am following Q3 results beating expectations After hours #IBDPartner Daily charts show 8.75-9 being a key area & now should be exceeded, & little resistance until near $10 given the 1 year downtrend  @MarketSmith  @IBDinvestors",0,2,5
UIS,2019-10-29,Unisys Announces 3Q19 Results; Revenue Growth and Margin Expansion Continue; Company Increases Full-Year Non-GAAP Adjusted Revenue Guidance $UIS,0,2,3
UIS,2019-10-29,$UIS - Unisys EPS of $0.49,0,0,0
UIS,2019-10-29,DOWN WITH EARNINGS TODAY ALERT: $UIS Unisys   TradeIdeas via http://AlertTrade.us to FREE Trading Room,0,0,0
UIS,2019-10-29,$UIS in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://tickeron.com/go/867137 #Unisys #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today,0,0,0
